name,company,country,twitter
Shane Legg,Google Deepmind,New Zealand,ShaneLegg
Kai Chen,Google,China,Not Found
Jason Wei,Meta,USA,_jasonwei
Christopher Hesse,OpenAI,USA,christophrhesse
Dan Roberts,OpenAI,USA,danintheory
Shaoqing Ren,NIO,China,Not Found
Christian Szegedy,Morph Labs,Hungary,ChrSzegedy
Wojciech Zaremba,OpenAI,Poland,woj_zaremba
Raphael Köster,Google Deepmind,Germany,Not Found
Neel Nanda,Google Deepmind,UK,NeelNanda5
Jacob Steinhardt,Transluce,USA,JacobSteinhardt
Jon Barron,Google Deepmind,Canada,jon_barron
Jiahui Yu,Meta,China,null
Ryan Greenblatt,Redwood Research,USA,RyanPGreenblatt
Collin Burns,Anthropic,USA,null
Sandhini Agarwal,OpenAI,USA,SandhiniAgarwal
Jonathan Gordon,OpenAI,Israel,GordonJo76
Sami Jaghour,Prime Intellect,France,samsja19
Alex Graves,Google Deepmind,UK,Not Found
Jack Rae,Meta,UK,jack_w_rae
Robin Rombach,Black Forest Labs,Germany,robrombach
Leo Gao,OpenAI,Canada,nabla_theta
Ian Goodfellow,Google Deepmind,USA,goodfellow_ian
Rahul Arya,Google DeepMind,Hong Kong,Not Found
Hyung Won Chung,Meta,South Korea,hwchung27
Christopher Ré,Stanford University,USA,hazyresearch
GB Parascondolo,OpenAI,Italy,giambattista92
Yi Tay,Google Deepmind,Singapore,YiTayML
Eric Mitchell,OpenAI,USA,ericmitchellai
Xuezhi Wang,Google Deepmind,China,Not Found
James Bradbury,Anthropic,USA,jekbradbury
Hongyu Ren,Meta,China,ren_hongyu
Aidan Gomez,Cohere,Canada,aidangomez
Eric Zelikman,xAI,USA,ericzelikman
Albert Gu,Cartesia AI,USA,_albertgu
Sholto Douglas,Anthropic,Australia,_sholtodouglas
Lucas Beyer,Meta,Belgium,giffmana
Nicholas Carlini,Anthropic,USA,yocarlini
Zico Kolter,Carnegie Mellon University,USA,zicokolter
Percy Liang,Together AI,USA,percyliang
Luke Metz,Thinking Machines,USA,Luke_Metz
Gottfried Wilhelm Leibniz,Royal Society,Germany,Not Found
Jonas Adler,Google DeepMind,Sweden,JonasAAdler
Rowan Zellers,Thinking Machines,USA,rown
Ethan Perez,Anthropic,USA,EthanJPerez
Nick Ryder,OpenAI,USA,Not Found
Yoshua Bengio,LawZero,Canada,Yoshua_Bengio
Dario Amodei,Anthropic,USA,DarioAmodei
Lilian Weng,Thinking Machines,China,lilianweng
Alexander Kirillov,Thinking Machines,Russia,_alex_kirillov_
Alexander Kolesnikov,OpenAI,Russia,__kolesnikov__
Sebastian Borgeaud,Google DeepMind,UK,borgeaud_s
Horace He,Thinking Machines,USA,cHHillee
Chelsea Finn,Physical Intelligence,USA,chelseabfinn
Tom Brown,Anthropic,USA,nottombrown
Tristan Hume,Anthropic,Canada,trishume
John Schulman,Thinking Machines,USA,johnschulman2
Mark Chen,OpenAI,USA,markchen90
Chris Olah,Anthropic,USA,ch402
Noam Brown,OpenAI,USA,polynoamial
Pieter Abbeel,University of California,Belgium,pabbeel
Jared Kaplan,Anthropic,USA,JaredKaplan
Paul Christiano,US AI Safety Institute,USA,paulfchristiano
Quoc V. Le,Google,Vietnam,quocleix
David Silver,Google Deepmind,UK,Not Found
Wenda Zhou,OpenAI,France,zhouwenda
Diederik P. Kingma,Anthropic,Netherlands,dpkingma
