name,organization,country,handle,scholar_url,linkedin_url
Shane Legg,Google Deepmind,New Zealand,ShaneLegg,Not Found,Not Found
jakub pachocki,OpenAI,Poland,merettm,null,https://www.linkedin.com/in/jakub-pachocki
nat mcaleese,Anthropic,UK,__nmca__,https://scholar.google.com/citations?user=crw6TeIAAAAJ&hl=en,https://www.linkedin.com/in/nat-mcaleese-2440a076
Koray Kavukcuoglu,Google Deepmind,Turkey,koraykv,https://scholar.google.com/citations?user=sGFyDIUAAAAJ&hl=en,https://uk.linkedin.com/in/koray-kavukcuoglu-0439a720
Jacob Hilton,Alignment Research Center,UK,JacobHHilton,https://scholar.google.com/citations?user=WyKvz7EAAAAJ&hl=en,null
Edward J. Hu,Stealth,Canada,edwardjhu,https://scholar.google.com/citations?user=2eADy_8AAAAJ&hl=en,null
Geoffrey Hinton,University of Toronto,UK,geoffreyhinton,https://scholar.google.com/citations?user=JicYPdAAAAAJ&hl=en,null
Jean Pouget-Abadie,Google,France,Not Found,https://scholar.google.com/citations?user=6F3ZIeEAAAAJ&hl=en,https://www.linkedin.com/in/jean-pouget-abadie
llion jones,Sakana AI,Wales,YesThisIsLion,https://scholar.google.com/citations?user=_3_P5VwAAAAJ&hl=en,https://jp.linkedin.com/in/llion-jones-9ab3064b
Demis Hassabis,Google Deepmind,UK,demishassabis,https://scholar.google.com/citations?user=dYpPMQEAAAAJ&hl=en,https://uk.linkedin.com/in/demishassabis
Francois Chollet,Ndea,France,fchollet,https://scholar.google.com/citations?user=VfYhf2wAAAAJ&hl=en,https://www.linkedin.com/in/fchollet
steven hansen,Google Deepmind,USA,Zergylord,https://scholar.google.com/citations?user=hIOEWsEAAAAJ&hl=en,https://uk.linkedin.com/in/steven-hansen-23b1a44b
will brown,Prime Intellect,USA,willccbb,https://scholar.google.com/citations?user=JUJdJMoAAAAJ&hl=en,https://www.linkedin.com/in/willcb
shuchao bi,Meta,China,shuchaobi,https://scholar.google.com/citations?user=6egQH44AAAAJ&hl=en,Not Found
Sherjil Ozair,General Agents,Canada,sherjilozair,https://scholar.google.com/citations?user=O7MZStwAAAAJ&hl=en,https://www.linkedin.com/in/sherjilozair
dj strouse,OpenAI,USA,djstrouse,https://scholar.google.com/citations?user=K8E0T7MAAAAJ&hl=en,https://www.linkedin.com/in/djstrouse
Stephen Roller,Thinking Machines,USA,stephenroller,https://scholar.google.com/citations?user=22TE5qkAAAAJ&hl=en,https://www.linkedin.com/in/stephen-roller-38851513a
Devendra Singh Chaplot,Thinking Machines,India,dchaplot,https://scholar.google.com/citations?user=1MSpdmQAAAAJ&hl=en,https://www.linkedin.com/in/devendra-chaplot-b1605534
Neil Houlsby,Anthropic,UK,neilhoulsby,https://scholar.google.com/citations?user=sm1-TZMAAAAJ&hl=en,https://ch.linkedin.com/in/neil-houlsby-71152375
Jianlin Su,Kimi,China,Jianlin_S,https://scholar.google.com/citations?user=cdbdaksAAAAJ,null
Alexey Dosovitskiy,Inceptive,Russia,Not Found,https://scholar.google.com/citations?user=FXNJRDoAAAAJ&hl=en,https://de.linkedin.com/in/alexey-dosovitskiy-3694a1a9
Piotr Dollar,FAIR,USA,Not Found,https://scholar.google.com/citations?user=a8Y2OJMAAAAJ&hl=en,https://www.linkedin.com/in/pdollar
Nelson Elhage,Anthropic,USA,Nelhage,null,https://www.linkedin.com/in/nelhage
Trenton Bricken,Anthropic,UK,TrentonBricken,https://scholar.google.com/citations?user=CP6aLusAAAAJ&hl=en,Not Found
max schwarzer,OpenAI,Canada,max_a_schwarzer,https://scholar.google.com/citations?user=YmWRSvgAAAAJ&hl=en,https://www.linkedin.com/in/maxaschwarzer
Kaiming He,MIT,China,Not Found,https://scholar.google.com/citations?user=DhtAFkwAAAAJ&hl=en,https://www.linkedin.com/in/kaiming-he-90664838
Yair Carmon,SSI,Israel,yaircarmon,https://scholar.google.com/citations?user=kTKmpT0AAAAJ&hl=en,https://il.linkedin.com/in/yair-carmon
dan roberts,OpenAI,USA,danintheory,https://scholar.google.com/citations?user=f6584f8AAAAJ&hl=en,https://www.linkedin.com/in/daniel-a-roberts-90223a13
Kai Chen,Google,China,Not Found,https://scholar.google.com/citations?user=TKvd_Z4AAAAJ&hl=en,null
Tom Henighan,Anthropic,USA,Not Found,https://scholar.google.com/citations?user=8h3AFugAAAAJ&hl=en,null
Jason Wei,Meta,USA,_jasonwei,https://scholar.google.com/citations?hl=en&user=wA5TK_0AAAAJ,https://www.linkedin.com/in/jason-wei-5a7323b0
Shaoqing Ren,NIO,China,Not Found,https://scholar.google.com/citations?user=AUhj438AAAAJ&hl=zh-CN,https://cn.linkedin.com/in/shaoqing-ren-61853260
Christopher Hesse,OpenAI,USA,christophrhesse,https://scholar.google.com/citations?user=SgbbTp4AAAAJ&hl=en,null
christian szegedy,Morph Labs,Hungary,ChrSzegedy,https://scholar.google.com/citations?user=bnQMuzgAAAAJ&hl=en,https://www.linkedin.com/in/christian-szegedy-bb284816
Neel Nanda,Google Deepmind,UK,NeelNanda5,https://scholar.google.com/citations?user=GLnX3MkAAAAJ&hl=en,https://uk.linkedin.com/in/neel-nanda%F0%9F%94%B8-993580151
Wojciech Zaremba,OpenAI,Poland,woj_zaremba,https://scholar.google.com/citations?user=XCZpOcAAAAAJ&hl=en,https://www.linkedin.com/in/wojciech-zaremba-356568164
Jacob Steinhardt,Transluce,USA,JacobSteinhardt,https://scholar.google.com/citations?user=LKv32bgAAAAJ&hl=en,https://www.linkedin.com/in/jacob-steinhardt-a30437bb
Jiahui Yu,Meta,China,null,null,https://www.linkedin.com/in/jhyuxm/
Alex Graves,Google Deepmind,UK,Not Found,https://scholar.google.com/citations?user=DaFHynwAAAAJ&hl=en,Not Found
Ryan Greenblatt,Redwood Research,USA,RyanPGreenblatt,https://scholar.google.com/citations?user=UESxdDsAAAAJ&hl=en,https://www.linkedin.com/in/ryan-greenblatt-4b9907134
raphael köster,Google Deepmind,Germany,Not Found,https://scholar.google.com/citations?user=eEGGCiUAAAAJ&hl=en,https://www.linkedin.com/in/raphael-koster-7b2077b1
Sandhini Agarwal,OpenAI,USA,SandhiniAgarwal,https://scholar.google.com/citations?user=8UZIqcoAAAAJ&hl=en,https://www.linkedin.com/in/sandhini-agarwal
Yi Tay,Google Deepmind,Singapore,YiTayML,https://scholar.google.com/citations?user=VBclY_cAAAAJ&hl=en,https://sg.linkedin.com/in/tayyi
Jon Barron,Google Deepmind,Canada,jon_barron,https://scholar.google.com/citations?user=jktWnL8AAAAJ&hl=en,https://www.linkedin.com/in/jonathanbarron
